模块,具体事项,李然(主编),王青(内容与账号Owner-A),陈墨(设计与账号Owner-B),赵宁(运营与账号Owner-C),孙越(增长与账号Owner-D),AI工具
账号战略,账号矩阵定位(5-7号),A,R,C,C,C,I
账号战略,账号分级(S/A/B)与资源配比,A,C,I,C,R,I
选题管理,周选题池与栏目规划,C,A,R,I,C,R
选题管理,热点扫描与竞品跟踪,I,C,C,I,A,R
内容生产,母稿写作与脚本产出,I,A,R,C,I,R
内容生产,多平台改写(一稿多发),I,A,C,I,R,R
视觉视频,封面配图与短视频切片,I,A,C,R,C,R
审核发布,事实核查与合规审查,A,R,C,I,C,R
审核发布,发布排期与执行,I,A,I,C,R,R
用户运营,评论私信规则与响应,C,A,I,I,R,C
数据复盘,日报周报与归因分析,I,C,I,I,C,A
数据复盘,选题回灌与策略迭代,A,R,C,I,C,R
商业化,商单评估与报价,A,R,I,I,C,I
商业化,商单内容交付管理,C,A,R,R,C,C
资产沉淀,模板库提示词库素材库维护,C,A,R,R,C,R
风险控制,账号权限2FA交接备份,A,R,I,I,C,I
