序号,MECE大类,原目录,目标目录,迁移优先级,预计影响,是否需更新引用,状态
1,A_治理与控制,00_入口与规则,A_治理与控制/00_入口与规则,中,高,是,已完成
2,A_治理与控制,11_故障与失败案例库,A_治理与控制/11_故障与失败案例库,低,中,是,已完成
3,A_治理与控制,12_变更与版本治理,A_治理与控制/12_变更与版本治理,低,中,是,已完成
4,A_治理与控制,13_演练与应急预案,A_治理与控制/13_演练与应急预案,低,中,是,已完成
5,A_治理与控制,14_备份与恢复,A_治理与控制/14_备份与恢复,低,中,是,已完成
6,B_内容生产主流程,01_策划,B_内容生产主流程/01_策划,高,高,是,已完成
7,B_内容生产主流程,02_素材,B_内容生产主流程/02_素材,高,高,是,已完成
8,B_内容生产主流程,03_创作,B_内容生产主流程/03_创作,高,高,是,已完成
9,B_内容生产主流程,04_发布,B_内容生产主流程/04_发布,高,高,是,已完成
10,B_内容生产主流程,05_复盘与增长,B_内容生产主流程/05_复盘与增长,高,高,是,已完成
11,C_运营对象,06_账号资产,C_运营对象/06_账号资产,中,中,是,已完成
12,D_能力与知识资产,07_模板与自动化,D_能力与知识资产/07_模板与自动化,中,高,是,已完成
13,D_能力与知识资产,08_外部研究,D_能力与知识资产/08_外部研究,中,中,是,已完成
14,D_能力与知识资产,10_内容创作者手册,D_能力与知识资产/10_内容创作者手册,低,中,是,已完成
15,E_归档,90_归档,E_归档/90_归档,低,低,否,已完成
