task_id,weekday,topic_cluster,task_name,source_id,automation_level,ai_capability,owner,output_path,target_accounts,sla_hours,priority,status,notes
WK-001,Mon,宏观与生活成本,更新CPI/PPI核心指标,SRC-001,P0,摘要+异常检测,data-editor,B_内容生产主流程/02_素材/数据与引用/weekly/cpi_ppi.csv,ACC-A|ACC-F,6,H,active,
WK-002,Mon,宏观与生活成本,更新社融与利率快照,SRC-003,P0,趋势摘要,data-editor,B_内容生产主流程/02_素材/数据与引用/weekly/social_finance_rate.csv,ACC-A|ACC-F,6,H,active,
WK-003,Mon,城市与区域发展,更新城市人口与就业快照,SRC-001,P1,口径提示,data-producer,B_内容生产主流程/02_素材/数据与引用/weekly/city_population_employment.csv,ACC-B|ACC-C,12,M,active,
WK-004,Tue,产业与就业,更新招聘与岗位结构样本,SRC-025,P1,字段映射建议,analyst,B_内容生产主流程/02_素材/数据与引用/weekly/job_structure_sample.csv,ACC-C|ACC-E,12,H,active,需注明报告口径
WK-005,Tue,产业与就业,更新企业登记变更样本,SRC-022,P0,实体抽取,data-producer,B_内容生产主流程/02_素材/数据与引用/weekly/company_change_sample.csv,ACC-C|ACC-D,12,M,active,
WK-006,Tue,平台经济与内容生态,更新平台热词与内容趋势,SRC-029,P1,话题聚类+风险词提示,data-producer,B_内容生产主流程/02_素材/数据与引用/weekly/platform_topic_trends.csv,ACC-D|ACC-G,8,H,active,C级仅作线索
WK-007,Wed,国际对比,更新全球宏观对比底表,SRC-012,P0,同比环比摘要,data-editor,B_内容生产主流程/02_素材/数据与引用/weekly/global_macro_compare.csv,ACC-A|ACC-B,12,M,active,
WK-008,Wed,国际对比,更新OECD/IMF关键指标,SRC-015,P0,异常波动解释草案,data-editor,B_内容生产主流程/02_素材/数据与引用/weekly/oecd_imf_key_metrics.csv,ACC-A|ACC-F,12,M,active,
WK-009,Wed,健康与公共议题,更新公共卫生指标快照,SRC-014,P0,变化摘要,data-producer,B_内容生产主流程/02_素材/数据与引用/weekly/public_health_snapshot.csv,ACC-G,12,M,active,
WK-010,Thu,城市与区域发展,更新城市对比地图底表,SRC-010,P1,地理字段标准化,analyst,B_内容生产主流程/02_素材/数据与引用/weekly/city_geo_compare.csv,ACC-B,12,H,active,
WK-011,Thu,平台经济与内容生态,更新搜索热度关键词池,SRC-028,P0,关键词聚类,analyst,B_内容生产主流程/02_素材/数据与引用/weekly/search_trends_keywords.csv,ACC-D|ACC-E,6,H,active,
WK-012,Thu,科技与AI生产力,更新AI行业动态指标,SRC-026,P1,摘要+选题建议,data-producer,B_内容生产主流程/02_素材/数据与引用/weekly/ai_industry_signals.csv,ACC-E,12,M,active,
WK-013,Fri,个人财务与资产决策,更新利率与资产类别表现,SRC-027,P1,风险标签建议,analyst,B_内容生产主流程/02_素材/数据与引用/weekly/asset_class_perf.csv,ACC-F,12,H,active,需授权
WK-014,Fri,个人财务与资产决策,更新基金债券公开指标,SRC-016,P0,指标解释草案,data-editor,B_内容生产主流程/02_素材/数据与引用/weekly/fund_bond_snapshot.csv,ACC-F|ACC-A,12,M,active,
WK-015,Fri,透明机制,生成本周来源引用清单,NA,P0,引用格式标准化,qa-reviewer,B_内容生产主流程/03_创作/审核/weekly/source_citations_weekly.md,ACC-A|ACC-B|ACC-C|ACC-D|ACC-E|ACC-F|ACC-G,6,H,active,
WK-016,Fri,透明机制,生成本周方法说明草稿集,NA,P0,methodology草稿生成,qa-reviewer,B_内容生产主流程/03_创作/审核/weekly/methodology_weekly.md,ACC-A|ACC-B|ACC-C|ACC-D|ACC-E|ACC-F|ACC-G,6,H,active,
WK-017,Fri,质量治理,生成本周数据质量报告,NA,P0,QA摘要+风险分级,qa-reviewer,B_内容生产主流程/02_素材/素材清洗/weekly/qa_report_weekly.md,ACC-A|ACC-B|ACC-C|ACC-D|ACC-E|ACC-F|ACC-G,6,H,active,
WK-018,Fri,编辑复盘,输出周会审数据输入包,NA,P0,复盘摘要,owner,B_内容生产主流程/05_复盘与增长/周复盘/weekly/editorial_input_pack.md,ACC-A|ACC-B|ACC-C|ACC-D|ACC-E|ACC-F|ACC-G,6,H,active,
WK-019,Sat,线索池维护,归档低价值线索与去重,SRC-029,P1,聚类去重,data-producer,B_内容生产主流程/01_策划/选题池/weekly/topic_pool_maintenance.csv,ACC-D|ACC-G,24,M,active,
WK-020,Sun,系统健康,自动化运行健康检查,NA,P0,失败任务归因与修复建议,ai-operator,D_能力与知识资产/07_模板与自动化/automation/weekly/automation_health_report.md,ACC-A|ACC-B|ACC-C|ACC-D|ACC-E|ACC-F|ACC-G,24,M,active,
